City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,errachidia,31.9275,-4.4285,20.03,37,20,8.75,MA,1682118334
83,ilulissat,69.2167,-51.1,-0.99,80,75,0.0,GL,1682118321
84,seaside,36.6111,-121.8516,24.84,63,0,3.6,US,1682118334
85,galle,6.0367,80.217,27.57,81,44,2.61,LK,1682118335
86,port elizabeth,-33.918,25.5701,15.16,83,75,2.06,ZA,1682118335
87,vila do maio,15.1333,-23.2167,22.44,75,48,5.79,CV,1682118335
88,kalmunai,7.4167,81.8167,25.65,83,52,1.75,LK,1682118336
89,siklos,45.855,18.2975,11.58,66,0,2.06,HU,1682118336
90,labrador city,52.9463,-66.9114,3.95,70,75,3.09,CA,1682118337
91,princeton,25.5384,-80.4089,26.68,73,40,2.57,US,1682118185
92,lyubim,58.3625,40.6843,3.3,92,36,1.72,RU,1682118337
93,nieves,15.3274,120.9485,28.73,79,78,0.91,PH,1682118338
94,sidi akkacha,36.4647,1.3026,16.16,71,33,1.38,DZ,1682118338
95,sinabang,2.4803,96.3801,26.62,83,5,0.84,ID,1682118338
96,st. john's,47.5649,-52.7093,2.6,96,100,10.29,CA,1682118152
97,longyearbyen,78.2186,15.6401,-14.09,61,20,5.66,SJ,1682118338
98,port lincoln,-34.7333,135.8667,17.08,77,0,2.61,AU,1682118339
99,swanage,50.6092,-1.9626,6.98,87,3,1.79,GB,1682118339
100,namibe,-15.1961,12.1522,25.86,75,100,2.06,AO,1682118339
101,pekan,3.4836,103.3996,25.06,89,95,0.77,MY,1682118339
102,zambezi,-13.5432,23.1047,19.54,77,97,1.62,ZM,1682118339
103,san jose,37.3394,-121.895,28.51,39,75,6.17,US,1682118339
104,mccomb,31.2438,-90.4531,23.93,60,75,3.09,US,1682118340
105,mumford,5.2618,-0.759,27.7,85,100,5.14,GH,1682118340
106,tura,25.5198,90.2201,20.78,80,97,2.17,IN,1682118340
107,richards bay,-28.783,32.0377,19.17,79,97,1.64,ZA,1682118340
108,thompson,55.7435,-97.8558,3.09,41,20,5.14,CA,1682118340
109,trail,49.0998,-117.7022,13.16,57,89,1.36,CA,1682118340
110,al minya,28.1099,30.7503,19.69,39,76,4.15,EG,1682118341
111,igarka,67.4667,86.5833,-4.94,86,100,7.19,RU,1682118341
112,taksimo,56.3444,114.8794,-7.52,56,17,1.23,RU,1682118341
113,naze,28.3667,129.4833,19.51,86,84,9.12,JP,1682118341
114,haiku-pauwela,20.9219,-156.3051,27.01,74,40,5.14,US,1682118341
115,inhambane,-23.865,35.3833,21.52,85,94,2.25,MZ,1682118342
116,punta arenas,-53.15,-70.9167,6.01,75,0,3.09,CL,1682118342
117,quellon,-43.1167,-73.6167,10.14,93,100,0.0,CL,1682118342
